,Calories (Kcal),Protein (g),Total Fat (g),Saturated Fat (g),Trans Fat (g),Total Carbohydrate (g),Total Sugars (g),Sodium (mg)
總含量,2161,58.3,83.0,28.6,0.9999999999999999,300.0,139.79999999999998,1958.1
佔每日推薦攝取量 (%),108.0,97.2,138.3,158.9,45.5,100.0,279.59999999999997,97.89999999999999
