Category,Name,Calories (Kcal),Protein (g),Total Fat (g),Saturated Fat (g),Trans Fat (g),Total Carbohydrate (g),Total Sugars (g),Sodium (mg)
beverages,100,114,5.9,5.8,3.4,0.1,9.6,6.9,57.6
beverages,101,134,0.3,0,0,0,33,29,8.9
beverages,102,179,2.9,4.7,3.2,0.1,31,28,43.4
beverages,103,215,2.9,4.7,3.2,0.1,40,36,44.4
beverages,104,0,0,0,0,0,0,0,0
beverages,105,250,9.8,10,6.2,0.2,30,27,107
beverages,106,342,13,13,7.8,0.2,44,39,137.2
beverages,107,258,8.4,8.2,4.9,0.2,38,33,88
beverages,108,183,6.3,6.3,3.8,0.1,25,22,67.3
beverages,109,36,1.3,2.3,1.6,0,2.4,2.2,17.7
beverages,110,75,2.7,4.9,3.3,0.1,5,4.6,37.1
beverages,111,128,1.5,2.3,1.6,0,25,23,21.3
beverages,112,209,2.9,4.7,3.2,0.1,39,36,40.2
beverages,113,160,8,9,5.8,0.1,12,12,102.9
beverages,114,119,2.1,0,0,0,28,25,3.7
beverages,115,149,0,0,0,0,38,38,7.1
beverages,116,199,0,0,0,0,50,50,9.5
beverages,117,298,0,0,0,0,75,75,14.2
beverages,118,0,0,0,0,0,0,0,39.1
beverages,119,0,0,0,0,0,0,0,52
beverages,120,0,0,0,0,0,0,0,78.1
beverages,121,163,0,0,0,0,40,40,32
beverages,122,218,0,0,0,0,53,53,42.6
beverages,123,327,0,0,0,0,80,80,63.9
beverages,124,117,0,0,0,0,29,29,14.2
beverages,125,156,0,0,0,0,38,38,18.9
beverages,126,234,0,0,0,0,58,58,28.4
beverages,127,3,0.4,0,0,0,0.4,0,4.6
beverages,128,4,0.5,0,0,0,0.5,0,6.1
beverages,129,6,0.7,0,0,0,0.7,0,9.2
beverages,130,0,0,0,0,0,0,0,0
beverages,131,0,0,0,0,0,0,0,0
beverages,132,0,0,0,0,0,0,0,0
snacks,133,267,13,9.4,4.4,0.2,33,5.6,362.8
snacks,134,316,16,13,7.2,0.4,34,5.9,547.3
snacks,135,415,2.5,17,3.3,0,68,22,183.2
snacks,136,265,4.1,13,3.2,0.1,33,0.8,199.7
snacks,137,376,5.8,18,4.5,0.1,47,1.1,283.6
snacks,138,529,8.1,26,6.3,0.1,66,1.6,399.5
snacks,139,152,1.4,10,1.4,0,14,0,241.5
snacks,140,292,14,20,4.2,0,14,0,460.8
snacks,141,875,42,61,13,0,41,0,1382.3
snacks,142,183,18,11,3.6,0,2,0,361
snacks,143,549,54,34,11,0,6.1,0,1083.1
snacks,144,229,2.1,9.7,3.2,0.1,33,9.9,130.4
snacks,145,86,2.4,0.9,0.2,0,17,8,133
snacks,146,37,1.2,0.2,0,0,7.7,4.7,31.7
snacks,147,36,0.1,0,0,0,8.8,6.9,1.9
snacks,148,93,1.9,2.1,1.2,0,17,5.3,637.5
snacks,149,140,2.8,3.1,1.8,0,25,7.9,956.3
snacks,150,145,2.5,4.6,2.3,0,23,18,68.9
snacks,151,202,3.6,6.5,3.4,0,32,25,100.4
snacks,152,352,5.7,12,6.2,0,55,41,265.3
snacks,153,180,10,12,2.8,0,8.7,0,285.1
snacks,154,270,16,17,4.2,0,13,0,427.6
snacks,155,449,26,29,6.9,0,22,0,712.6
