Category,Name,Calories (Kcal),Protein (g),Total Fat (g),Saturated Fat (g),Trans Fat (g),Total Carbohydrate (g),Total Sugars (g),Sodium (mg)
50-dollars-meal,chicken-mcnuggets-4-pieces-and-corn-soup,273.0,11.9,14.1,4.0,0.0,25.7,5.3,922.6
50-dollars-meal,tender-chicken-wing-and-coke,332.0,18.0,11.0,3.6,0.0,40.0,38.0,368.1
50-dollars-meal,spicy-chicken-wing-and-fuze-tea,409.0,14.0,20.0,4.2,0.0,43.0,29.0,475.0
50-dollars-meal,ice-cream-cone-large-and-sprite,365.0,3.6,6.5,3.4,0.0,72.0,65.0,132.4
50-dollars-meal,apple-pie-and-hot-black-tea,229.0,2.1,9.7,3.2,0.1,33.0,9.9,130.4
50-dollars-meal,french-fries-and-sprite,428.0,4.1,13.0,3.2,0.1,73.0,40.8,231.7
mccafe,espresso,6.0,0.4,0.1,0.0,0.0,0.9,0.0,0.54
mccafe,americano,15.0,0.9,0.3,0.1,0.0,2.2,0.0,1.3
mccafe,iced-americano,20.0,1.2,0.4,0.1,0.0,2.9,0.0,1.7
mccafe,latte,123.0,6.4,6.5,3.9,0.1,9.9,8.1,66.2
mccafe,latte-large,219.0,11.0,12.0,7.2,0.2,17.0,15.0,121.6
mccafe,iced-latte,117.0,6.1,6.1,3.7,0.1,9.5,7.6,62.4
mccafe,iced-latte-large,138.0,7.1,7.3,4.4,0.1,11.0,9.1,74.3
mccafe,cappuccino,152.0,7.7,7.9,4.8,0.1,13.0,10.0,83.1
mccafe,cappuccino-large,204.0,10.0,11.0,6.5,0.2,17.0,14.0,112.5
mccafe,iced-cappuccino,114.0,5.9,5.8,3.4,0.1,9.6,6.9,57.6
mccafe,mocha-medium,221.0,9.2,8.5,5.2,0.1,27.0,21.0,128.2
mccafe,mocha-large,311.0,13.0,12.0,7.2,0.2,38.0,30.0,182.4
mccafe,iced-mocha,135.0,5.0,4.6,2.8,0.1,18.0,14.0,86.5
mccafe,iced-mocha-large,199.0,7.3,6.9,4.1,0.1,27.0,22.0,129.4
mccafe,honey-black-tea-iced,134.0,0.3,0.0,0.0,0.0,33.0,29.0,8.9
mccafe,honey-milk-tea-hot,179.0,2.9,4.7,3.2,0.1,31.0,28.0,43.4
mccafe,honey-milk-tea-iced,215.0,2.9,4.7,3.2,0.1,40.0,36.0,44.4
mccafe,assam-milk-tea-medium,250.0,9.8,10.0,6.2,0.2,30.0,27.0,107.0
mccafe,assam-milk-tea-large,342.0,13.0,13.0,7.8,0.2,44.0,39.0,137.2
mccafe,iced-assam-milk-tea-medium,183.0,6.3,6.3,3.8,0.1,25.0,22.0,67.3
mccafe,iced-assam-milk-tea-large,258.0,8.4,8.2,4.9,0.2,38.0,33.0,88.0
mccafe,hot-chocolate,247.0,11.0,11.0,6.7,0.2,27.0,23.0,149.1
mccafe,hot-chocolate-large,344.0,14.0,14.0,8.8,0.2,40.0,34.0,209.6
mccafe,iced-chocolate,292.0,7.1,17.0,15.0,0.1,27.0,25.0,161.4
mccafe,iced-chocolate-large,367.0,9.9,20.0,16.0,0.2,36.0,33.0,211.7
mccafe,honey-lemon-duet-frappe,337.0,0.2,0.0,0.0,0.0,83.0,73.0,12.5
